NumTotalTrades,PercentInstallTrades,NumRevolvingTradesWBalance,NumInstallTradesWBalance,PercentTradesWBalance,extra:MaxDelq2PublicRecLast12M:is8,extra:MaxDelq2PublicRecLast12M:is9,extra:MaxDelqEver:is1,extra:MaxDelqEver:is9,extra:num-mising,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTradesOpeninLast12M,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumBank2NatlTradesWHighUtilization,extra:mising-7:MSinceMostRecentDelq,extra:mising-7:MSinceMostRecentInqexcl7days,extra:mising-8:MSinceOldestTradeOpen,extra:mising-8:MSinceMostRecentDelq,extra:mising-8:MSinceMostRecentInqexcl7days,extra:mising-8:NetFractionRevolvingBurden,extra:mising-8:NetFractionInstallBurden,extra:mising-8:NumRevolvingTradesWBalance,extra:mising-8:NumInstallTradesWBalance,extra:mising-8:NumBank2NatlTradesWHighUtilization,extra:mising-8:PercentTradesWBalance,extra:mising-9:ExternalRiskEstimate,extra:mising-9:MSinceOldestTradeOpen,extra:mising-9:MSinceMostRecentTradeOpen,extra:mising-9:AverageMInFile,extra:mising-9:NumSatisfactoryTrades,extra:mising-9:NumTrades60Ever2DerogPubRec,extra:mising-9:NumTrades90Ever2DerogPubRec,extra:mising-9:PercentTradesNeverDelq,extra:mising-9:MSinceMostRecentDelq,extra:mising-9:MaxDelq2PublicRecLast12M,extra:mising-9:MaxDelqEver,extra:mising-9:NumTotalTrades,extra:mising-9:NumTradesOpeninLast12M,extra:mising-9:PercentInstallTrades,extra:mising-9:MSinceMostRecentInqexcl7days,extra:mising-9:NumInqLast6M,extra:mising-9:NumInqLast6Mexcl7days,extra:mising-9:NetFractionRevolvingBurden,extra:mising-9:NetFractionInstallBurden,extra:mising-9:NumRevolvingTradesWBalance,extra:mising-9:NumInstallTradesWBalance,extra:mising-9:NumBank2NatlTradesWHighUtilization,extra:mising-9:PercentTradesWBalance,RiskPerformance
23,43,8,1,69,False,False,False,False,1,39,659,379,299,59,3,0,17,81,4.0,3.0,1,24,0,0,33,-8,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,67,0,-8,0,False,False,False,False,4,33,745,368,342,77,4,4,0,90,7.0,0.0,0,24,0,0,0,-8,-8,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,44,4,2,86,False,False,False,False,1,27,737,378,359,70,0,0,0,90,0.0,0.0,4,24,4,4,53,66,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,57,6,4,91,False,False,False,False,0,28,634,382,310,51,1,1,7,7,1.0,2.0,3,24,5,4,72,83,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,25,3,1,80,False,False,False,False,1,13,470,356,251,67,0,0,0,90,0.0,0.0,0,24,1,1,51,89,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,47,12,4,94,False,False,False,False,0,35,666,372,305,48,0,0,9,82,3.0,2.0,1,24,0,0,62,93,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,58,7,7,100,False,False,False,False,0,40,715,376,346,54,0,0,8,74,3.0,2.0,3,24,4,4,89,76,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,44,2,2,40,False,False,False,False,0,26,655,376,318,62,0,0,17,52,1.0,2.0,1,24,0,0,28,48,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,26,7,1,90,False,False,False,False,1,35,479,381,245,55,0,0,15,78,3.0,2.0,1,24,1,1,68,-8,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,26,5,3,62,False,False,False,False,0,33,724,379,347,60,0,0,5,78,3.0,2.0,3,24,6,6,31,86,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
